inst_idx,dataset,group,instance,n,m,method,param,best_of,is_best_param
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.1,135.83529921292333,1
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.3,126.2071727544579,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.5,121.0995910030454,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.7,100.5796058459449,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.9,86.0743913936042,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.1,123.58916527758831,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.3,132.3598591058,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.5,136.91395861301905,0
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.7,137.28627821821664,1
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.9,136.50757947497462,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR,0.1,146.79438132477787,1
2,Geo,second10,Geo 100 19.txt,100,30,CGR,0.3,140.50245348930233,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR,0.5,129.8991941411146,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR,0.7,124.02821434352533,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR,0.9,112.76989947817222,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR2,0.1,143.64763370939048,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR2,0.3,145.4369435715112,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR2,0.5,146.97595762968783,0
2,Geo,second10,Geo 100 19.txt,100,30,CGR2,0.7,148.5943376582579,1
2,Geo,second10,Geo 100 19.txt,100,30,CGR2,0.9,146.97595762968783,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR,0.1,89.43701713427276,1
3,Geo,first10,Geo 250 6.txt,250,25,CGR,0.3,81.89085740846684,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR,0.5,71.92202542087709,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR,0.7,57.65624031319719,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR,0.9,52.13895146236252,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR2,0.1,90.04981849912687,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR2,0.3,92.55709640626672,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR2,0.5,93.49759975207269,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR2,0.7,93.5834690529559,0
3,Geo,first10,Geo 250 6.txt,250,25,CGR2,0.9,95.96327952018346,1
4,Geo,second10,Geo 250 19.txt,250,75,CGR,0.1,129.82770259132707,1
4,Geo,second10,Geo 250 19.txt,250,75,CGR,0.3,125.5892678671489,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR,0.5,115.35400673968056,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR,0.7,106.08050580464469,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR,0.9,95.44851081530783,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR2,0.1,129.6201702138623,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR2,0.3,130.91566800468567,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR2,0.5,131.6249389624152,0
4,Geo,second10,Geo 250 19.txt,250,75,CGR2,0.7,131.92894618936452,1
4,Geo,second10,Geo 250 19.txt,250,75,CGR2,0.9,131.9093332778909,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR,0.1,23.300108305916517,1
5,Geo,first10,Geo 500 6.txt,500,50,CGR,0.3,22.51041475891948,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR,0.5,19.921690185221966,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR,0.7,14.651195451895243,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR,0.9,10.375385518147263,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR2,0.1,22.62812667103337,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR2,0.3,24.596139398825763,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR2,0.5,24.06025431097194,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR2,0.7,24.647261637659142,0
5,Geo,first10,Geo 500 6.txt,500,50,CGR2,0.9,24.951713705684302,1
6,Geo,second10,Geo 500 13.txt,500,150,CGR,0.1,128.94163579326488,1
6,Geo,second10,Geo 500 13.txt,500,150,CGR,0.3,124.19220294430788,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR,0.5,115.15568440762331,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR,0.7,103.90428405144996,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR,0.9,96.75448290015677,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR2,0.1,129.92717896789165,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR2,0.3,130.78348601719267,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR2,0.5,130.8618162277388,0
6,Geo,second10,Geo 500 13.txt,500,150,CGR2,0.7,131.25873050348721,1
6,Geo,second10,Geo 500 13.txt,500,150,CGR2,0.9,131.1859922597664,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR,0.1,68.0,1
7,Ran,first10,Ran 100 4.txt,100,10,CGR,0.3,65.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR,0.5,65.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR,0.7,60.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR,0.9,54.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR2,0.1,60.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR2,0.3,64.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR2,0.5,67.0,0
7,Ran,first10,Ran 100 4.txt,100,10,CGR2,0.7,68.0,1
7,Ran,first10,Ran 100 4.txt,100,10,CGR2,0.9,68.0,1
8,Ran,second10,Ran 100 14.txt,100,30,CGR,0.1,54.0,1
8,Ran,second10,Ran 100 14.txt,100,30,CGR,0.3,53.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR,0.5,53.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR,0.7,53.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR,0.9,52.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR2,0.1,52.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR2,0.3,53.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR2,0.5,53.0,0
8,Ran,second10,Ran 100 14.txt,100,30,CGR2,0.7,54.0,1
8,Ran,second10,Ran 100 14.txt,100,30,CGR2,0.9,54.0,1
9,Ran,first10,Ran 250 2.txt,250,25,CGR,0.1,58.0,1
9,Ran,first10,Ran 250 2.txt,250,25,CGR,0.3,56.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR,0.5,56.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR,0.7,54.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR,0.9,52.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR2,0.1,55.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR2,0.3,57.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR2,0.5,56.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR2,0.7,57.0,0
9,Ran,first10,Ran 250 2.txt,250,25,CGR2,0.9,58.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR,0.1,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR,0.3,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR,0.5,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR,0.7,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR,0.9,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR2,0.1,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR2,0.3,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR2,0.5,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR2,0.7,51.0,1
10,Ran,second10,Ran 250 17.txt,250,75,CGR2,0.9,51.0,1
11,Ran,first10,Ran 500 10.txt,500,50,CGR,0.1,54.0,1
11,Ran,first10,Ran 500 10.txt,500,50,CGR,0.3,53.0,0
11,Ran,first10,Ran 500 10.txt,500,50,CGR,0.5,53.0,0
11,Ran,first10,Ran 500 10.txt,500,50,CGR,0.7,53.0,0
11,Ran,first10,Ran 500 10.txt,500,50,CGR,0.9,51.0,0
11,Ran,first10,Ran 500 10.txt,500,50,CGR2,0.1,53.0,1
11,Ran,first10,Ran 500 10.txt,500,50,CGR2,0.3,53.0,1
11,Ran,first10,Ran 500 10.txt,500,50,CGR2,0.5,53.0,1
11,Ran,first10,Ran 500 10.txt,500,50,CGR2,0.7,53.0,1
11,Ran,first10,Ran 500 10.txt,500,50,CGR2,0.9,53.0,1
12,Ran,second10,Ran 500 14.txt,500,150,CGR,0.1,3.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR,0.3,4.0,1
12,Ran,second10,Ran 500 14.txt,500,150,CGR,0.5,3.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR,0.7,4.0,1
12,Ran,second10,Ran 500 14.txt,500,150,CGR,0.9,2.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR2,0.1,3.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR2,0.3,3.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR2,0.5,3.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR2,0.7,3.0,0
12,Ran,second10,Ran 500 14.txt,500,150,CGR2,0.9,4.0,1
